filename,sentence,sentence_order,argument_type,rationale
DJ_121_ban-boxing_pro.trs.txt,We should ban boxing because boxing is a blood sport and it's absolutely horrible for the athletes and it's a horrible message to send for society.,1,,
DJ_121_ban-boxing_pro.trs.txt,So why is this true?,2,,
DJ_121_ban-boxing_pro.trs.txt,The first big thing is that boxing has horrific consequences on the people who participate in it.,3,,
DJ_121_ban-boxing_pro.trs.txt,It's essentially like a modern day equivalent of gladiator battles in like the worse way possible.,4,,
DJ_121_ban-boxing_pro.trs.txt,"In the short term you see things like concussions, you see things like bones breaking in people's face, someone's eyes can get like gouged out and damage from like from like hits.",5,,
DJ_121_ban-boxing_pro.trs.txt,There's all kinds of horrific injuries that people can obtain in the short term.,6,,
DJ_121_ban-boxing_pro.trs.txt,A lot of those injuries specifically can also of long term impacts.,7,,
DJ_121_ban-boxing_pro.trs.txt,"Obviously you can suffer long term nerve damage, you can suffer brain damage from chronic hits.",8,,
DJ_121_ban-boxing_pro.trs.txt,This is a big problem in sports like boxing and also football where concussions and head trauma are common.,9,,
DJ_121_ban-boxing_pro.trs.txt,And this can result in essentially dementia like traits in a horribly young age.,10,,
DJ_121_ban-boxing_pro.trs.txt,Like dementia like traits in someone's forties or fifties or even younger sometimes.,11,,
DJ_121_ban-boxing_pro.trs.txt,"You can see like permanent nerve damage, permanent eye damage, damage to your senses damage to your ability to like use your mouth to eat, because your face has been like parts of your face and your jaw have been broken so many times.",12,,
DJ_121_ban-boxing_pro.trs.txt,"There's all kinds of horrible horrible consequences associated with boxing, even death.",13,,
DJ_121_ban-boxing_pro.trs.txt,For like hundreds or thousands of people that can often be the case.,14,,
DJ_121_ban-boxing_pro.trs.txt,"And for the for the majority of boxers, not necessarily the ones who are the people you see on television as professional boxers, but amateur boxing, olympic boxing, youth boxing groups, oftentimes you can see severe health consequences for these people as well and there's going to be less healthcare for them.",15,,
DJ_121_ban-boxing_pro.trs.txt,"There gonna be less help for them, less guidance for them to deal with the adverse consequences of boxing.",16,,
DJ_121_ban-boxing_pro.trs.txt,"So really, this is absolutely horrible for a whole lot of people who participate in boxing, particularly at the lower levels of the sport, where they're just not going to get as much financial support for what they're putting their bodies through.",17,,
DJ_121_ban-boxing_pro.trs.txt,"And beyond that, I also think boxing has really horrible social consequences.",18,,
DJ_121_ban-boxing_pro.trs.txt,"Because as a society, when we try to tell people like "" violence isn't the answer "" or "" we should try to strive for like peaceful resolutions to conflict "", it's a really mixed signal when you're at the same time glorifying the violence in its purest form.",19,,
DJ_121_ban-boxing_pro.trs.txt,"When you think that, like punching someone in the face so hard that they bleed so much, that they're in pain, so much that they get knocked out to the ground and they get a concussion from it, that we glorify that as sport, that we look at that as entertainment.",20,,
DJ_121_ban-boxing_pro.trs.txt,"I think says a lot about the innate violence, the innate horrible values that we hold as a society.",21,,
DJ_121_ban-boxing_pro.trs.txt,And that's really not something that we should be proud of.,22,,
DJ_121_ban-boxing_pro.trs.txt,It's not something that we should put on a pedestal.,23,,
DJ_121_ban-boxing_pro.trs.txt,"We shouldn't violence like that on a pedestal, and we shouldn't try to appreciate violence from that.",24,,
DJ_121_ban-boxing_pro.trs.txt,"When we like when the people who like commit these like violent actions get paid millions of dollars for what they do, and we look at that as entertainment, it gives a horrible message that we don't actually value peace, we don't actually value like things like that.",25,,
DJ_121_ban-boxing_pro.trs.txt,"We overwhelmingly value blood we and violence, and that's I think a really horrible message to send as a society.",26,,
DJ_121_ban-boxing_pro.trs.txt,So for all those reasons ban boxing.,27,,
DJ_1243_three-strikes_con_opening_YBA.trs.txt,We should keep three strikes laws for a few big reasons.,1,,
