filename,sentence,sentence_order,argument_type,rationale
DJ_121_ban-boxing_pro.trs.txt,We should ban boxing because boxing is a blood sport and it's absolutely horrible for the athletes and it's a horrible message to send for society.,1,C,This is the central proposition the speaker aims to prove � that boxing should be banned.
DJ_121_ban-boxing_pro.trs.txt,So why is this true?,2,OTH,"This rhetorical question transitions from claim to reasoning, indicating a link between grounds and the claim."
DJ_121_ban-boxing_pro.trs.txt,The first big thing is that boxing has horrific consequences on the people who participate in it.,3,G,This provides factual support (evidence) for the claim � harmful consequences of boxing.
DJ_121_ban-boxing_pro.trs.txt,It's essentially like a modern day equivalent of gladiator battles in like the worse way possible.,4,W/Q,This analogy links the evidence (violence) to the argument that boxing is inherently harmful.
DJ_121_ban-boxing_pro.trs.txt,"In the short term you see things like concussions, you see things like bones breaking in people's face, someone's eyes can get like gouged out and damage from like from like hits.",5,W/Q,Offers specific examples to reinforce the earlier ground about health consequences.
DJ_121_ban-boxing_pro.trs.txt,There's all kinds of horrific injuries that people can obtain in the short term.,6,OTH,"Expands on the health consequences, providing further support for the grounds."
DJ_121_ban-boxing_pro.trs.txt,A lot of those injuries specifically can also of long term impacts.,7,W/Q,"Continues detailing harm, reinforcing the evidence provided."
DJ_121_ban-boxing_pro.trs.txt,"Obviously you can suffer long term nerve damage, you can suffer brain damage from chronic hits.",8,OTH,Another instance of supporting information for the argument about health damage.
DJ_121_ban-boxing_pro.trs.txt,This is a big problem in sports like boxing and also football where concussions and head trauma are common.,9,W/Q,Makes a generalization to contextualize the specific harm within a larger problem.
DJ_121_ban-boxing_pro.trs.txt,And this can result in essentially dementia like traits in a horribly young age.,10,OTH,Provides a medical consequence as evidence.
DJ_121_ban-boxing_pro.trs.txt,Like dementia like traits in someone's forties or fifties or even younger sometimes.,11,W/Q,"Gives an example to support the previous claim, reinforcing the consequence."
DJ_121_ban-boxing_pro.trs.txt,"You can see like permanent nerve damage, permanent eye damage, damage to your senses damage to your ability to like use your mouth to eat, because your face has been like parts of your face and your jaw have been broken so many times.",12,G,Strengthens the impact by repeating long-term effects.
DJ_121_ban-boxing_pro.trs.txt,"There's all kinds of horrible horrible consequences associated with boxing, even death.",13,W/Q,Summarizes and emotionally reinforces the previously listed harms.
DJ_121_ban-boxing_pro.trs.txt,For like hundreds or thousands of people that can often be the case.,14,G,"Quantifies the problem, indicating it's not isolated."
DJ_121_ban-boxing_pro.trs.txt,"And for the for the majority of boxers, not necessarily the ones who are the people you see on television as professional boxers, but amateur boxing, olympic boxing, youth boxing groups, oftentimes you can see severe health consequences for these people as well and there's going to be less healthcare for them.",15,G,"Adds specificity to who is impacted, strengthening the earlier ground."
DJ_121_ban-boxing_pro.trs.txt,"There gonna be less help for them, less guidance for them to deal with the adverse consequences of boxing.",16,OTH,Supports the ground by emphasizing social and systemic neglect.
DJ_121_ban-boxing_pro.trs.txt,"So really, this is absolutely horrible for a whole lot of people who participate in boxing, particularly at the lower levels of the sport, where they're just not going to get as much financial support for what they're putting their bodies through.",17,W/Q,Reaffirms the core claim emotionally and broadly.
DJ_121_ban-boxing_pro.trs.txt,"And beyond that, I also think boxing has really horrible social consequences.",18,W/Q,Introduces a second major claim  broader societal harm.
DJ_121_ban-boxing_pro.trs.txt,"Because as a society, when we try to tell people like "" violence isn't the answer "" or "" we should try to strive for like peaceful resolutions to conflict "", it's a really mixed signal when you're at the same time glorifying the violence in its purest form.",19,C,Justifies the second claim by linking social norms and the message boxing sends.
DJ_121_ban-boxing_pro.trs.txt,"When you think that, like punching someone in the face so hard that they bleed so much, that they're in pain, so much that they get knocked out to the ground and they get a concussion from it, that we glorify that as sport, that we look at that as entertainment.",20,W/Q,Offers an illustrative example to support the warrant about societal messages.
DJ_121_ban-boxing_pro.trs.txt,"I think says a lot about the innate violence, the innate horrible values that we hold as a society.",21,C,Adds a psychological or sociological implication to support the warrant.
DJ_121_ban-boxing_pro.trs.txt,And that's really not something that we should be proud of.,22,C,"Continues the societal argument, reinforcing the second claim."
DJ_121_ban-boxing_pro.trs.txt,It's not something that we should put on a pedestal.,23,C,"Restates the normative stance, emotionally reinforcing the societal concern."
DJ_121_ban-boxing_pro.trs.txt,"We shouldn't violence like that on a pedestal, and we shouldn't try to appreciate violence from that.",24,C,Repetition for emphasis; strengthens emotional and ethical objection.
DJ_121_ban-boxing_pro.trs.txt,"When we like when the people who like commit these like violent actions get paid millions of dollars for what they do, and we look at that as entertainment, it gives a horrible message that we don't actually value peace, we don't actually value like things like that.",25,OTH,Supports the moral claim with a critique of glorification.
DJ_121_ban-boxing_pro.trs.txt,"We overwhelmingly value blood we and violence, and that's I think a really horrible message to send as a society.",26,C,"Argues a misplaced cultural value, strengthening the claim."
DJ_121_ban-boxing_pro.trs.txt,So for all those reasons ban boxing.,27,W/Q,This summarizes and signals that the conclusion is drawn from a set of reasons  a typical usage of a qualifier.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,We should keep three strikes laws for a few big reasons.,1,C,The speaker makes a central assertion supporting the continuation of three-strikes laws.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"First, because these crimes are incredibly bad crimes even if they're perceived as minor felonies, and they're ones that we need to deter.",2,G,Provides a reason based on the severity of crimes to justify the claim.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"And I think that in addition to the fact these are bad and we need to deter people from doing them, I think that when people commit crimes over and over again, there is no reason to believe why they won't keep doing it, so you need to protect the population from these people.",3,C,Reinforces the grounds by elaborating on the harmful impact of the crimes.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"So, let's talk about these kinds of things.",4,W/Q,Transitional or rhetorical statement; doesnt function as a Toulmin element.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"I think that it's important to first start with an overview, that the reason why we punish people when we we give people prison sentences isn't just to punish people.",5,C,Introduces the principle that deterrence justifies the law  a reasoning link.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"If you murder someone, we're not putting you in prison just because you deserve a punishment for doing a bad thing.",6,G,"Provides an example or contrast to explain how punishment is handled, supporting deterrence logic."
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"We're also doing we also have laws in place because we don't want people to do these things in the first place, and because we want people who are willing to do these kind of things to stay away from the rest of society, to not be able to murder or hurt more people.",7,G,"Offers a broader rationale  laws protect society, not just punish individuals."
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"So, that's what this is going to be about, about deterrence and about isolation of people for protection.",8,W/Q,"Restates the purpose of the law as protection, reinforcing the speakers stance."
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"So, let's first start by talking about deterrence.",9,W/Q,"Structural transition, not argument content."
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"I think that it's important to note that these crimes are oftentimes bad harms, and that there's never really a victimless crime.",10,C,Justifies the policy by arguing that the affected crimes are serious.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"Even if it's seen as like a minor felony, and you're just getting a long prison sentence for in accumulation of minor felonies, minor felony can be things like minor theft of things, so like someone's computer or like robbing a store.",11,W/Q,"Introduces a condition or exception where the law still applies, softening the stance."
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"It could mean minor it could be like minor instances of assault, where you like you like abuse several women, or like your girlfriend a couple of like at various points in time.",12,OTH,Provides examples of minor felonies discussed earlier.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"These are things that are still severe in my opinion, and these are things that are worthy of being punished.",13,C,"Reasserts the seriousness of these crimes, supporting continued enforcement."
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"I think that, therefore, you want to stop people from doing these things, and I think that the best way to do that is by a greater deterrence threat, because when there's a perceived lack of importance given to, like, the severity of these crimes, that is because of the fact that they're associated with only small, minor prison sentences, possibly for felony.",14,C,"Argues that because the crimes are severe, it's logical to deter them through punishment."
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"it could just be probation or things like that, or parole or whatever.",15,OTH,Offers alternative punishments to suggest three-strikes is stricter and more effective.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"And I think that, therefore, when you say if you keep doing something you're going to be punished for twenty five years to life in prison, it says that the accumulation of keep doing these felonies over and over again does not suggest that it could be tolerated, and I think that people are going to be less likely to commit these crimes",16,C,Reasserts the policy position that repeated offenses should result in strong consequences.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,because they're going to have greater punishment associated with them,17,G,Connects the punishment severity to behavioral deterrence  logical reasoning.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,People are going to recognize and internalize the consequences of these so called minor felonies that they're committing.,18,W/Q,Explains how deterrence works  through social internalization of laws.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,But I also think that this is important as far as isolating people and protecting the population.,19,W/Q,Presents a second core purpose  ensuring proportionate punishment.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"It's important to note that if someone commits the same crime or a similar crime or a similar felony three times, there's no reason to really believe why they're not just going to keep doing this t- crime over and over again.",20,W/Q,Provides the factual basis that repeated felonies should logically lead to stricter penalties.
DJ_1243_three-strikes_con_opening_YBA.trs.txt,"Like if you get caught doing a bad thing three times, I don't understand why they wouldn't do it a fourth time or a fifth time, and this is bad because this because every additional time is another person that's getting assaulted, another person that's getting stolen from.",21,G,"Suggests that repeat offenses imply a persistent danger, justifying isolation."
DJ_1243_three-strikes_con_opening_YBA.trs.txt,These are things that the government has an obligation to stop and an obligation to protect people from.,22,OTH,Reinforces the states role in handling persistent criminal threats.
